-----------------------------------
Time profiling for the matrix inverse function:
Forward elimination: 0.44s (64.71%)
Backward elimination: 0.24s (35.29%)
Inverse function total: 0.68s (1)
-----------------------------------
Total time for the direct method: 15.38s
Result x is: Matrix [1000][1]:
	[ ,0]	
[531, ]	0.0009135 	
[532, ]	0.001469 	
[533, ]	0.0009826 	
[534, ]	0.0007853 	
[535, ]	-0.0002298 	
[536, ]	-5.439e-05 	
[537, ]	0.0013 	
[538, ]	0.001244 	
[539, ]	0.0006391 	
[540, ]	0.0002123 	
[541, ]	0.0006193 	
[542, ]	0.0002874 	
[543, ]	0.0009631 	
[544, ]	-8.537e-05 	
[545, ]	-0.0003838 	
[546, ]	0.000602 	
[547, ]	-0.0004601 	
[548, ]	-0.0001408 	
[549, ]	-0.000328 	
[550, ]	-9.099e-06 	
[551, ]	0.0004172 	
[552, ]	-0.0003509 	
[553, ]	0.0006802 	
[554, ]	0.001064 	
[555, ]	-0.0001802 	
[556, ]	0.001386 	
[557, ]	0.001082 	
[558, ]	-0.0004442 	
[559, ]	0.0008698 	
[560, ]	0.0003192 	
[561, ]	0.0008809 	
[562, ]	0.000591 	
[563, ]	-0.0004082 	
[564, ]	0.0003253 	
[565, ]	0.0004799 	
[566, ]	0.0005278 	
[567, ]	0.0009582 	
[568, ]	-0.0003563 	
[569, ]	0.0003794 	
[570, ]	0.0002919 	
[571, ]	0.0003635 	
[572, ]	0.001108 	
[573, ]	0.0006277 	
[574, ]	0.001292 	
[575, ]	0.0004155 	
[576, ]	0.001418 	
[577, ]	-0.0002781 	
[578, ]	0.0005827 	
[579, ]	0.0007139 	
[580, ]	0.0003598 	
[581, ]	0.0006301 	
[582, ]	0.0001206 	
[583, ]	-9.789e-05 	
[584, ]	0.001119 	
[585, ]	0.001075 	
[586, ]	-0.0003185 	
[587, ]	0.0007978 	
[588, ]	0.0004379 	
[589, ]	0.001006 	
[590, ]	0.001456 	
[591, ]	-0.000157 	
[592, ]	7.26e-05 	
[593, ]	0.0007958 	
[594, ]	-0.0002488 	
[595, ]	0.0005241 	
[596, ]	-0.0002291 	
[597, ]	-0.0001419 	
[598, ]	0.0001685 	
[599, ]	-0.0003366 	
[600, ]	-7.558e-05 	
[601, ]	0.001321 	
[602, ]	0.0005082 	
[603, ]	0.00141 	
[604, ]	0.0007227 	
[605, ]	0.0003331 	
[606, ]	0.000903 	
[607, ]	0.001063 	
[608, ]	0.001065 	
[609, ]	0.0007686 	
[610, ]	0.001135 	
[611, ]	0.0006284 	
[612, ]	0.001404 	
[613, ]	-0.000218 	
[614, ]	0.0008138 	
[615, ]	0.001265 	
[616, ]	0.0004685 	
[617, ]	0.000754 	
[618, ]	0.001215 	
[619, ]	5.766e-05 	
[620, ]	0.0007872 	
