-----------------------------------
Time profiling for the matrix inverse function:
Forward elimination: 0.45s (65.22%)
Backward elimination: 0.24s (34.78%)
Inverse function total: 0.69s (1)
-----------------------------------
Total time for the iterative method: 4.63s
Result from Jacobi x is 
Matrix [1000][1]:
	[ ,0]	
[797, ]	-1.487e+08 	
[798, ]	-1.49e+08 	
[799, ]	-1.485e+08 	
[800, ]	-1.488e+08 	
[801, ]	-1.488e+08 	
[802, ]	-1.49e+08 	
[803, ]	-1.487e+08 	
[804, ]	-1.487e+08 	
[805, ]	-1.485e+08 	
[806, ]	-1.489e+08 	
[807, ]	-1.489e+08 	
[808, ]	-1.488e+08 	
[809, ]	-1.488e+08 	
[810, ]	-1.486e+08 	
[811, ]	-1.49e+08 	
[812, ]	-1.49e+08 	
[813, ]	-1.49e+08 	
[814, ]	-1.49e+08 	
[815, ]	-1.491e+08 	
[816, ]	-1.485e+08 	
[817, ]	-1.487e+08 	
[818, ]	-1.487e+08 	
[819, ]	-1.488e+08 	
[820, ]	-1.49e+08 	
[821, ]	-1.487e+08 	
[822, ]	-1.486e+08 	
[823, ]	-1.489e+08 	
[824, ]	-1.487e+08 	
[825, ]	-1.488e+08 	
[826, ]	-1.49e+08 	
[827, ]	-1.488e+08 	
[828, ]	-1.486e+08 	
[829, ]	-1.491e+08 	
[830, ]	-1.486e+08 	
[831, ]	-1.488e+08 	
[832, ]	-1.489e+08 	
[833, ]	-1.49e+08 	
[834, ]	-1.486e+08 	
[835, ]	-1.49e+08 	
[836, ]	-1.488e+08 	
[837, ]	-1.488e+08 	
[838, ]	-1.489e+08 	
[839, ]	-1.49e+08 	
[840, ]	-1.488e+08 	
